Implementation,MessageSize,Threads,Throughput(Gbps),Latency(us)
A1_TwoCopy,64,1,0.0664,58.8188
A1_TwoCopy,64,2,0.0614,63.5890
A1_TwoCopy,64,4,0.0556,70.2651
A1_TwoCopy,64,8,0.0912,42.8352
A1_TwoCopy,1024,1,0.0537,1164.7812
A1_TwoCopy,1024,2,0.0774,807.8737
A1_TwoCopy,1024,4,0.0898,695.9857
A1_TwoCopy,1024,8,0.0399,1565.3110
A1_TwoCopy,32768,1,0.0295,67909.0266
A1_TwoCopy,32768,2,0.0624,32053.5896
A1_TwoCopy,32768,4,0.0490,40837.9405
A1_TwoCopy,32768,8,0.0930,21504.0949
A1_TwoCopy,1048576,1,0.0748,855696.6661
A1_TwoCopy,1048576,2,0.0716,894294.1601
A1_TwoCopy,1048576,4,0.0701,913327.6949
A1_TwoCopy,1048576,8,0.0372,1721308.9996
A2_OneCopy,64,1,0.0391,99.9315
A2_OneCopy,64,2,0.0482,81.0177
A2_OneCopy,64,4,0.1030,37.9107
A2_OneCopy,64,8,0.1200,32.5489
A2_OneCopy,1024,1,0.0664,941.9678
A2_OneCopy,1024,2,0.0950,657.7498
A2_OneCopy,1024,4,0.0582,1073.8959
A2_OneCopy,1024,8,0.0957,652.9876
A2_OneCopy,32768,1,0.1015,19707.6783
A2_OneCopy,32768,2,0.0968,20659.6759
A2_OneCopy,32768,4,0.0857,23340.2532
A2_OneCopy,32768,8,0.0806,24807.2945
A2_OneCopy,1048576,1,0.0919,696110.1581
A2_OneCopy,1048576,2,0.0706,906695.0839
A2_OneCopy,1048576,4,0.0692,925186.0627
A2_OneCopy,1048576,8,0.0321,1993474.9558
A3_ZeroCopy,64,1,0.0005,7111.7433
A3_ZeroCopy,64,2,0.0022,1784.3999
A3_ZeroCopy,64,4,0.0049,795.3235
A3_ZeroCopy,64,8,0.0132,296.2941
A3_ZeroCopy,1024,1,0.0935,668.6345
A3_ZeroCopy,1024,2,0.1145,545.6664
A3_ZeroCopy,1024,4,0.1127,554.5480
A3_ZeroCopy,1024,8,0.0905,690.6457
A3_ZeroCopy,32768,1,0.0523,38247.9837
A3_ZeroCopy,32768,2,0.0438,45670.8322
A3_ZeroCopy,32768,4,0.0995,20094.0239
A3_ZeroCopy,32768,8,0.1019,19628.7490
A3_ZeroCopy,1048576,1,0.0878,729261.1357
A3_ZeroCopy,1048576,2,0.0721,887229.8756
A3_ZeroCopy,1048576,4,0.0824,777066.5415
A3_ZeroCopy,1048576,8,0.0366,1749540.0803
